,Language,Word Entropy,hemisphere,model,time,subject,accuracy
314,Dutch,Low,Right,Surprisal,0,sub-009,-3.546751693158422e-06
315,Dutch,Low,Left,Surprisal,0,sub-009,-1.5684179341363464e-06
316,Dutch,Low,Right,Entropy,0,sub-009,-7.230140398599205e-06
317,Dutch,Low,Left,Entropy,0,sub-009,-7.565860849410341e-06
318,Dutch,Low,Right,Phoneme_onset,0,sub-010,-1.4031635187394125e-06
319,Dutch,Low,Left,Phoneme_onset,0,sub-010,-1.4264563753015563e-06
320,Dutch,Low,Right,Surprisal,0,sub-010,-4.0639479514347745e-06
321,Dutch,Low,Left,Surprisal,0,sub-010,-1.9031198066961824e-06
322,Dutch,Low,Right,Entropy,0,sub-010,-7.889666725782914e-06
323,Dutch,Low,Left,Entropy,0,sub-010,-7.609486940381411e-06
324,Dutch,Low,Right,Phoneme_onset,0,sub-011,-2.679456952103208e-07
325,Dutch,Low,Left,Phoneme_onset,0,sub-011,-1.8794085854121072e-06
326,Dutch,Low,Right,Surprisal,0,sub-011,-2.984423512529991e-06
327,Dutch,Low,Left,Surprisal,0,sub-011,3.0351058205237174e-06
328,Dutch,Low,Right,Entropy,0,sub-011,-6.212644916098103e-06
329,Dutch,Low,Left,Entropy,0,sub-011,-5.448491603404922e-06
330,Dutch,Low,Right,Phoneme_onset,0,sub-013,-2.789873175009362e-06
331,Dutch,Low,Left,Phoneme_onset,0,sub-013,-1.8427585710064043e-06
332,Dutch,Low,Right,Surprisal,0,sub-013,-4.646972083709382e-06
333,Dutch,Low,Left,Surprisal,0,sub-013,-1.4778338564620508e-06
334,Dutch,Low,Right,Entropy,0,sub-013,-3.359835377507991e-06
335,Dutch,Low,Left,Entropy,0,sub-013,-2.4269820526315833e-06
336,Dutch,Low,Right,Phoneme_onset,0,sub-014,-3.6962261154689634e-06
337,Dutch,Low,Left,Phoneme_onset,0,sub-014,-3.623810680006181e-06
338,Dutch,Low,Right,Surprisal,0,sub-014,-5.758447849780986e-06
339,Dutch,Low,Left,Surprisal,0,sub-014,-2.4933871796705467e-06
340,Dutch,Low,Right,Entropy,0,sub-014,1.8933253427546299e-06
341,Dutch,Low,Left,Entropy,0,sub-014,-1.7714597213532716e-06
342,Dutch,Low,Right,Phoneme_onset,0,sub-015,-2.118471184752112e-06
343,Dutch,Low,Left,Phoneme_onset,0,sub-015,-3.9244908807571435e-06
344,Dutch,Low,Right,Surprisal,0,sub-015,-5.285126424102922e-06
345,Dutch,Low,Left,Surprisal,0,sub-015,-1.6398895945312765e-06
346,Dutch,Low,Right,Entropy,0,sub-015,-7.53814520398615e-06
347,Dutch,Low,Left,Entropy,0,sub-015,-3.227114455895593e-06
348,Dutch,Low,Right,Phoneme_onset,0,sub-017,-1.6785309298349146e-06
349,Dutch,Low,Left,Phoneme_onset,0,sub-017,-2.8104675833092948e-06
350,Dutch,Low,Right,Surprisal,0,sub-017,1.628073047720857e-07
351,Dutch,Low,Left,Surprisal,0,sub-017,-1.2472650915368882e-06
352,Dutch,Low,Right,Entropy,0,sub-017,-6.274735795460831e-07
353,Dutch,Low,Left,Entropy,0,sub-017,-9.786738036090205e-08
354,Dutch,Low,Right,Phoneme_onset,0,sub-018,-1.4711165224642378e-06
355,Dutch,Low,Left,Phoneme_onset,0,sub-018,-4.208442927664834e-07
356,Dutch,Low,Right,Surprisal,0,sub-018,-3.4295054959194556e-06
357,Dutch,Low,Left,Surprisal,0,sub-018,-4.382424902052394e-06
358,Dutch,Low,Right,Entropy,0,sub-018,-1.0460424942954092e-05
359,Dutch,Low,Left,Entropy,0,sub-018,-5.059575016184819e-06
360,Dutch,Low,Right,Phoneme_onset,0,sub-019,-3.388481167736083e-06
361,Dutch,Low,Left,Phoneme_onset,0,sub-019,-1.1116421545457638e-06
362,Dutch,Low,Right,Surprisal,0,sub-019,-4.646232726977971e-06
363,Dutch,Low,Left,Surprisal,0,sub-019,-3.785143031513681e-06
364,Dutch,Low,Right,Entropy,0,sub-019,-8.952256022678394e-06
365,Dutch,Low,Left,Entropy,0,sub-019,-8.748123311955648e-06
366,Dutch,Low,Right,Phoneme_onset,0,sub-020,2.6133714584277278e-06
367,Dutch,Low,Left,Phoneme_onset,0,sub-020,2.130168861038077e-06
368,Dutch,Low,Right,Surprisal,0,sub-020,-8.532616568145473e-07
369,Dutch,Low,Left,Surprisal,0,sub-020,-3.0000226511982207e-06
370,Dutch,Low,Right,Entropy,0,sub-020,-4.075472520947374e-06
371,Dutch,Low,Left,Entropy,0,sub-020,-2.7498448908039566e-06
372,Dutch,Low,Right,Phoneme_onset,0,sub-021,-1.165271568185748e-06
373,Dutch,Low,Left,Phoneme_onset,0,sub-021,-1.0091269940847699e-06
374,Dutch,Low,Right,Surprisal,0,sub-021,-2.7089482705039427e-06
375,Dutch,Low,Left,Surprisal,0,sub-021,-6.357230951772728e-07
376,Dutch,Low,Right,Entropy,0,sub-021,-9.13106451476793e-06
377,Dutch,Low,Left,Entropy,0,sub-021,-1.0104673915900979e-05
378,Dutch,Low,Right,Phoneme_onset,0,sub-023,-3.5722175248352947e-06
